Year,index,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1930,15,0,1,1,3,0,0,2,3,2,0,1,0,4,4,0,3,0,0,0,1,0
1940,30,0,1,2,1,1,0,3,2,2,1,0,0,3,2,1,3,0,0,1,1,1
1950,75,0,2,0,2,1,0,4,1,0,0,1,1,2,1,0,4,1,0,0,1,1
1960,180,7,10,0,3,3,0,10,4,1,0,3,1,6,6,2,6,1,0,8,3,2
1970,295,10,16,0,10,7,1,21,3,4,0,4,10,9,4,1,9,9,1,14,5,1
1980,395,70,61,1,63,25,1,77,9,39,0,8,47,15,5,12,33,41,9,59,9,6
1990,495,187,125,22,303,165,3,397,69,91,0,26,61,45,18,71,169,96,24,228,23,15
2000,595,350,310,94,709,320,31,821,219,204,0,53,158,113,37,189,429,185,82,467,60,16
2010,476,286,229,69,361,157,25,457,129,152,0,32,101,55,20,92,174,147,32,294,26,11
